time,veh_u,veh_v,model_GRU_lon_2080.pt
1.51,0.01075,0.00204,0.06394794583320618
1.52,0.01388,0.00229,0.06381956487894058
1.53,0.01735,0.00253,0.06391400098800659
1.54,0.02119,0.00274,0.06423572450876236
1.55,0.02541,0.00292,0.06480635702610016
1.56,0.03003,0.00306,0.06547082960605621
1.57,0.03506,0.00317,0.06639587134122849
1.58,0.04053,0.00324,0.06789951026439667
1.59,0.04644,0.00327,0.07008395344018936
1.6,0.05281,0.00325,0.07300764322280884
1.61,0.05966,0.00318,0.07645067572593689
1.62,0.067,0.00307,0.0802341178059578
1.63,0.07326,0.00295,0.08484590798616409
1.64,0.08152,0.00276,0.09007228910923004
1.65,0.09031,0.00253,0.0966988205909729
1.66,0.09963,0.00226,0.10375753045082092
1.67,0.11151,0.00188,0.11141511797904968
1.68,0.12204,0.00154,0.11885375529527664
1.69,0.13313,0.00116,0.12635812163352966
1.7,0.14479,0.0,0.13345694541931152
1.71,0.15701,0.0,0.1409866213798523
1.72,0.1698,0.0,0.1485196352005005
1.73,0.18316,0.0,0.15651944279670715
1.74,0.19708,0.0,0.1644255518913269
1.75,0.21157,0.0,0.17225989699363708
1.76,0.22662,0.0,0.17920437455177307
1.77,0.24222,0.0,0.1849215030670166
1.78,0.25836,0.0,0.18901288509368896
1.79,0.27503,0.0,0.19144001603126526
1.8,0.29223,0.0,0.19247764348983765
1.81,0.30993,0.0,0.19339722394943237
1.82,0.32814,0.0,0.19656866788864136
1.83,0.34682,0.0,0.20246288180351257
1.84,0.36598,0.0,0.21068376302719116
1.85,0.38558,0.0,0.22517439723014832
1.86,0.40562,0.0,0.2466602325439453
1.87,0.42608,0.0,0.2756621837615967
1.88,0.44277,0.0,0.3104740381240845
1.89,0.46393,0.0,0.34772178530693054
1.9,0.48545,0.0,0.38681331276893616
1.91,0.50732,0.0,0.4257674515247345
1.92,0.53394,0.0,0.4650048315525055
1.93,0.55651,0.0,0.5027972459793091
1.94,0.57937,0.0,0.5398442149162292
1.95,0.60249,0.0,0.5754714608192444
1.96,0.62587,0.0,0.6097181439399719
1.97,0.6495,0.0,0.6427288055419922
1.98,0.67335,0.0,0.673854410648346
1.99,0.69741,0.0,0.7031004428863525
2.0,0.72168,0.0,0.7298111915588379
2.01,0.74128,0.0,0.7544925212860107
2.02,0.77076,0.0,0.7780907154083252
2.03,0.79064,0.0,0.8003540635108948
2.04,0.82052,0.0,0.821976363658905
2.05,0.84564,0.0,0.8437718152999878
2.06,0.87091,0.0,0.8666638135910034
2.07,0.89633,0.0,0.8905670642852783
2.08,0.92189,0.0,0.915269672870636
2.09,0.9476,0.0,0.9409916996955872
2.1,0.97344,0.0,0.9679568409919739
2.11,0.99943,0.0,0.9961389303207397
2.12,1.02555,0.0,1.025519609451294
2.13,1.05182,0.0,1.0559495687484741
2.14,1.07824,0.0,1.0868985652923584
2.15,1.1048,0.0,1.1184163093566895
2.16,1.1315,0.0,1.1502569913864136
2.17,1.15836,0.0,1.1818252801895142
2.18,1.18537,0.0,1.2128522396087646
2.19,1.21254,0.0,1.243505597114563
2.2,1.23987,0.0,1.273783802986145
2.21,1.26736,0.0,1.3038041591644287
2.22,1.29501,0.0,1.3335964679718018
2.23,1.32282,0.0,1.3627359867095947
2.24,1.3508,0.0,1.3910280466079712
2.25,1.37894,0.0,1.4185508489608765
2.26,1.40163,0.0,1.4451271295547485
2.27,1.43572,0.0,1.4714475870132446
2.28,1.45867,0.0,1.498155117034912
2.29,1.49313,0.0,1.5254381895065308
2.3,1.51633,0.0,1.5526869297027588
2.31,1.55116,0.0,1.5802979469299316
2.32,1.5804,0.0,1.6085431575775146
2.33,1.60977,0.0,1.6375516653060913
2.34,1.63928,0.0,1.6672948598861694
2.35,1.6689,0.0,1.6976768970489502
2.36,1.69865,0.0,1.7281986474990845
2.37,1.7285,0.0,1.758792757987976
