time,veh_u,veh_v,model_T_lon_1560.pt
2.67,0.45333,0.0,0.2198081612586975
2.68,0.46042,0.0,0.22677908837795258
2.69,0.46748,0.0,0.23376764357089996
2.7,0.47449,0.0,0.2403031438589096
2.71,0.48146,0.0,0.2468961477279663
2.72,0.4884,0.0,0.25396615266799927
2.73,0.4953,0.0,0.26028546690940857
2.74,0.50217,0.0,0.2662963569164276
2.75,0.50901,0.0,0.27239978313446045
2.76,0.51446,0.0,0.27934718132019043
2.77,0.5226,0.0,0.28652918338775635
2.78,0.52801,0.0,0.29305675625801086
2.79,0.53609,0.0,0.2988653779029846
2.8,0.54146,0.0,0.30582690238952637
2.81,0.54948,0.0,0.3133101463317871
2.82,0.55615,0.0,0.31992393732070923
2.83,0.5628,0.0,0.32683563232421875
2.84,0.56943,0.00108,0.33368736505508423
2.85,0.57604,0.00144,0.3413652181625366
2.86,0.58263,0.00173,0.34758102893829346
2.87,0.58921,0.00195,0.3546011447906494
2.88,0.59577,0.00209,0.36104515194892883
2.89,0.60232,0.00216,0.36816835403442383
2.9,0.60885,0.00215,0.3741338849067688
2.91,0.61536,0.00207,0.3805057108402252
2.92,0.62185,0.00193,0.38697555661201477
2.93,0.62832,0.00172,0.3939344882965088
2.94,0.63477,0.00145,0.40064090490341187
2.95,0.64119,0.00113,0.4071582555770874
2.96,0.6476,0.0,0.4139072299003601
2.97,0.65398,0.0,0.4197350740432739
2.98,0.66033,0.0,0.42539945244789124
2.99,0.66665,0.0,0.4313545227050781
3.0,0.67295,0.0,0.4383542537689209
3.01,0.67796,0.0,0.4441075325012207
3.02,0.68544,0.0,0.45009326934814453
3.03,0.6904,0.0,0.45692378282546997
3.04,0.69779,0.0,0.46303775906562805
3.05,0.70269,0.0,0.4684314429759979
3.06,0.70999,0.0,0.47416365146636963
3.07,0.71483,0.0,0.48052114248275757
3.08,0.72203,0.0,0.4861680567264557
3.09,0.72798,0.0,0.4916107654571533
3.1,0.7339,0.0,0.49821916222572327
3.11,0.73976,0.0,0.504504919052124
3.12,0.74559,0.0,0.5097715258598328
3.13,0.75136,0.0,0.516556441783905
3.14,0.75709,0.0,0.5228909850120544
3.15,0.76278,0.0,0.5292933583259583
3.16,0.76842,0.0,0.5361572504043579
3.17,0.77401,0.0,0.5425468683242798
3.18,0.77956,0.0,0.5489640235900879
3.19,0.78507,0.0,0.5563477277755737
3.2,0.79052,0.0,0.5630069971084595
3.21,0.79594,0.0,0.569133996963501
3.22,0.80132,0.0,0.575069010257721
3.23,0.80666,0.0,0.5805149078369141
3.24,0.81196,0.0,0.5861325263977051
3.25,0.81722,0.0,0.5918003916740417
3.26,0.82141,0.0,0.5976571440696716
3.27,0.82764,0.0,0.603269100189209
3.28,0.83178,0.0,0.6084418296813965
3.29,0.83794,0.0,0.6137077212333679
3.3,0.84203,0.0,0.6188191175460815
3.31,0.84813,0.0,0.6245402097702026
3.32,0.85218,0.0,0.6291118860244751
3.33,0.85823,0.0,0.6346086859703064
3.34,0.86325,0.0,0.6397876739501953
3.35,0.86826,0.0,0.644771158695221
3.36,0.87325,0.0,0.6499906778335571
3.37,0.87822,0.0,0.6549339294433594
3.38,0.88319,0.0,0.6594486236572266
3.39,0.88814,0.0,0.664416491985321
3.4,0.89308,0.0,0.6688232421875
3.41,0.89801,0.0,0.6738728880882263
3.42,0.90294,0.0,0.6783375144004822
3.43,0.90785,0.0,0.6823509335517883
3.44,0.91276,0.0,0.6874313950538635
3.45,0.91765,0.0,0.6915943622589111
3.46,0.92254,0.0,0.6958944797515869
3.47,0.92741,0.0,0.7009541392326355
3.48,0.93227,0.0,0.7050337195396423
3.49,0.93713,0.0,0.7101186513900757
3.5,0.94196,0.0,0.7146807909011841
3.51,0.94582,0.0,0.7190039157867432
3.52,0.95159,0.0,0.7232585549354553
3.53,0.95542,0.0,0.7277575731277466
3.54,0.96113,0.0,0.732559084892273
3.55,0.96493,0.0,0.7369762659072876
3.56,0.97059,0.0,0.7409301996231079
3.57,0.97435,0.0,0.7454831004142761
3.58,0.97994,0.0,0.7495057582855225
3.59,0.98457,0.0,0.7541999220848083
3.6,0.98916,0.0,0.7577213048934937
3.61,0.99372,0.0,0.7621769309043884
3.62,0.99824,0.0,0.7662818431854248
3.63,1.00272,0.0,0.7701147198677063
3.64,1.00716,0.0,0.7744190692901611
3.65,1.01156,0.0,0.7783264517784119
3.66,1.01592,0.0,0.7827520966529846
3.67,1.02023,0.0,0.78600013256073
3.68,1.02449,0.0,0.7893875241279602
3.69,1.02871,0.0,0.7927829027175903
3.7,1.03288,0.0,0.7959332466125488
3.71,1.037,0.0,0.7998063564300537
3.72,1.04108,0.0,0.8025913238525391
3.73,1.04511,0.0,0.8067203760147095
3.74,1.0491,0.0,0.8099303245544434
3.75,1.05304,0.0,0.8136570453643799
3.76,1.05616,0.0,0.816528856754303
3.77,1.06079,0.0,0.8206096887588501
3.78,1.06385,0.0,0.8237723112106323
3.79,1.06838,0.0,0.8273357152938843
3.8,1.07138,0.0,0.8305143117904663
3.81,1.07583,0.0,0.8337883949279785
3.82,1.07878,0.0,0.8375924229621887
3.83,1.08316,0.0,0.840370774269104
3.84,1.08679,0.0,0.8440060019493103
3.85,1.09039,0.0,0.8471401929855347
3.86,1.09397,0.0,0.85040682554245
3.87,1.09753,0.0,0.8534104824066162
3.88,1.10109,0.0,0.8569144010543823
3.89,1.10462,0.0,0.8600059747695923
3.9,1.10815,0.0,0.863294243812561
3.91,1.11167,0.0,0.8661462664604187
3.92,1.11519,0.0,0.870006799697876
3.93,1.11869,0.0,0.8728877305984497
3.94,1.1222,0.0,0.8764137029647827
3.95,1.1257,0.0,0.8797345161437988
3.96,1.12919,0.0,0.8827178478240967
