time,veh_u,veh_v,model_LSTM_lon_2139.pt
10.79,22.49064,0.0,22.507896423339844
10.8,22.56305,0.0,22.56662368774414
10.81,22.62337,0.0,22.625041961669922
10.82,22.68357,0.0,22.683927536010742
10.83,22.74364,0.0,22.7431640625
10.84,22.80357,0.0,22.802488327026367
10.85,22.86335,0.0,22.861549377441406
10.86,22.92298,0.0,22.920307159423828
10.87,22.97071,0.0,22.97941780090332
10.88,23.04177,0.0,23.038625717163086
10.89,23.10091,0.0,23.098133087158203
10.9,23.15988,0.0,23.15791893005371
10.91,23.21868,0.0,23.217477798461914
10.92,23.27729,0.0,23.277313232421875
10.93,23.33571,0.0,23.33689308166504
10.94,23.39396,0.0,23.39664077758789
10.95,23.44054,0.0,23.456016540527344
10.96,23.50989,0.0,23.514902114868164
10.97,23.56758,0.0,23.57373809814453
10.98,23.62508,0.0,23.632646560668945
10.99,23.6824,0.0,23.69187355041504
11.0,23.73954,0.0,23.751075744628906
11.01,23.7965,0.0,23.810209274291992
11.02,23.85329,0.0,23.868526458740234
11.03,23.9099,0.0,23.927188873291016
11.04,23.95519,0.0,23.985597610473633
11.05,24.02263,0.0,24.043516159057617
11.06,24.07875,0.0,24.10137176513672
11.07,24.1347,0.0,24.158842086791992
11.08,24.1905,0.0,24.21582794189453
11.09,24.24616,0.0,24.27247428894043
11.1,24.30166,0.0,24.329097747802734
11.11,24.357,0.0,24.38545799255371
11.12,24.40129,0.0,24.441543579101562
11.13,24.46726,0.0,24.498065948486328
11.14,24.52219,0.0,24.55368995666504
11.15,24.57695,0.0,24.609310150146484
11.16,24.63159,0.0,24.664072036743164
11.17,24.68607,0.0,24.718917846679688
11.18,24.74043,0.0,24.773618698120117
11.19,24.79463,0.0,24.828641891479492
11.2,24.83801,0.0,24.88296127319336
11.21,24.90262,0.0,24.93742561340332
11.22,24.9564,0.0,24.991722106933594
11.23,25.01003,0.0,25.045238494873047
11.24,25.06352,0.0,25.09836196899414
11.25,25.11686,0.0,25.151185989379883
11.26,25.17005,0.0,25.203529357910156
11.27,25.2231,0.0,25.256155014038086
11.28,25.27599,0.0,25.309085845947266
11.29,25.31833,0.0,25.361513137817383
11.3,25.38133,0.0,25.41356086730957
11.31,25.43377,0.0,25.46579933166504
11.32,25.48607,0.0,25.517122268676758
11.33,25.53823,0.0,25.56865119934082
11.34,25.59023,0.0,25.61970329284668
11.35,25.64209,0.0,25.670745849609375
11.36,25.69382,0.0,25.721508026123047
11.37,25.7352,0.0,25.77248764038086
11.38,25.79685,0.0,25.822677612304688
