time,veh_u,model_RNN_lon_2020.pt,model_LSTM_lon_2139.pt,model_GRU_lon_2080.pt,model_TCN_lon_129.pt,model_T_lon_1560.pt,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
8.01,2.71796,3.0467581748962402,2.9194390773773193,2.9710867404937744,2.8300509452819824,2.8888707160949707,2.93547301,3.15983864105866,2.93547301001752,2.71476,2.83005300614025
8.02,2.79502,3.170645236968994,2.998685836791992,3.055968999862671,2.800218343734741,2.962643623352051,2.97689358,3.15476923732148,2.97689358001454,2.78699,2.80022103997245
8.03,2.8732,3.276561737060547,3.0766305923461914,3.1369211673736572,2.873424768447876,3.033348560333252,3.04312555,3.22345159021622,3.04312555001568,2.85723,2.87342870954568
8.04,2.93654,3.357520818710327,3.150749444961548,3.212766408920288,3.000445604324341,3.1003928184509277,3.10235761000003,3.21727314099733,3.10235761000836,2.91268000000001,3.00044756875124
8.05,3.01626,3.4144158363342285,3.217836380004883,3.2827115058898926,3.044752836227417,3.1592049598693848,3.02387282593992,3.17146137459335,3.02387282595234,2.98248,3.04475324319712
8.06,3.0966,3.4519402980804443,3.279780149459839,3.3477113246917725,3.0689516067504883,3.223250389099121,2.98454306575916,3.23305103318193,2.98454306578183,3.05868,3.0689532915093
8.07,3.19343,3.4921679496765137,3.3428452014923096,3.413132905960083,3.179715394973755,3.29750394821167,3.38966820005398,3.42603646410546,3.38966820005533,3.15519,3.17971790429003
8.08,3.2745,3.5510265827178955,3.409942865371704,3.4842846393585205,3.27492356300354,3.3708157539367676,3.52652792,3.61869048618613,3.52652792000849,3.2368,3.27492639789363
8.09,3.35567,3.633687973022461,3.4842517375946045,3.5637385845184326,3.3716132640838623,3.4536213874816895,3.576149995,3.77994479551528,3.57614999501816,3.31844,3.37161695859654
8.1,3.43673,3.7202882766723633,3.5617330074310303,3.6475133895874023,3.4691598415374756,3.530683994293213,3.639859155,3.80449688837908,3.63985915501056,3.3979,3.46916218845567
8.11,3.51764,3.7909843921661377,3.6373112201690674,3.7280547618865967,3.5824930667877197,3.6034083366394043,3.685088755,3.76815664909166,3.68508875500306,3.47618,3.58249372928169
8.12,3.58229,3.8488447666168213,3.710338592529297,3.8007655143737793,3.7842090129852295,3.6799120903015137,3.68361986041349,3.76252930680119,3.68361986041874,3.53828000000001,3.78420776390116
8.13,3.6626,3.8989644050598145,3.7800240516662598,3.8658509254455566,3.849977731704712,3.751321315765381,3.72061842408497,3.80293430743589,3.72061842409079,3.61475,3.84997756995303
